candidate_id,recruiter_notes,note_theme,note_signal,hired
1,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
2,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
3,Bom potencial de evolução.,Positivo - Potencial de crescimento,positive,False
4,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
5,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
6,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
7,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
8,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
9,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
10,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
11,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
12,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
13,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,True
14,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
15,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
16,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
17,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
18,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
19,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
20,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,True
21,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,False
22,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
23,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,True
24,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,False
25,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
26,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
27,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
28,Bom potencial de evolução.,Positivo - Potencial de crescimento,positive,False
29,Bom potencial de evolução.,Positivo - Potencial de crescimento,positive,False
30,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
31,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
32,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
33,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
34,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,True
35,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
36,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
37,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
38,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
39,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,True
40,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
41,Bom potencial de evolução.,Positivo - Potencial de crescimento,positive,False
42,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
43,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
44,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
45,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
46,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,True
47,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,False
48,Apresentou aderência forte ao contexto da vaga.,Positivo - Fit com a vaga,positive,False
49,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,False
50,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
51,Bom potencial de evolução.,Positivo - Potencial de crescimento,positive,False
52,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
53,Boa comunicação e resposta rápida.,Positivo - Comunicacao/responsividade,positive,False
54,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
55,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
56,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,True
57,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
58,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
59,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
60,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
61,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
62,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
63,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
64,Pontos fortes em execução e autonomia.,Positivo - Perfil comportamental,positive,False
65,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
66,Perfil técnico acima da média.,Positivo - Forca tecnica,positive,False
67,Pediu prazo adicional para retorno.,Risco - Indecisao/Timing,risk,False
68,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
69,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
70,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
71,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
72,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
73,Feedback positivo do gestor.,Positivo - Endosso do gestor,positive,False
74,Baixa responsividade nas etapas iniciais.,Risco - Engajamento,risk,False
75,Demonstrou interesse claro na oportunidade.,Positivo - Engajamento,positive,False
76,"Experiência sólida, mas expectativa salarial alta.",Atrito - Expectativa salarial,mixed,False
